          MJD                     X              XE                 O                    OE                
   54269.3147770537907491     -3.1985893     34.9638100   17173.3231059445497522     741.7753603075906312
   54269.3147776279365644    178.1828156     69.8422241   18668.8853948514624790     787.6882616923493288
   54269.3147782025625929     57.2618790     49.4060478   19895.9555050914677850     805.0350665344988101
   54269.3147787767084083     -3.1985893     34.9638100   23159.8773001712179394     867.8302339971763786
   54269.3147793508687755     77.4153595     53.3584175   21773.4653954522254935     824.5999843801628231
   54269.3147799254802521     16.9548950     40.3563004   21180.6250385990206269     816.5367264425821077
   54269.3147804996406194    117.7223358     60.4933624   23499.0021327085414669     861.3572965666396613
   54269.3147810737864347    -43.5055695     20.2519569   23340.9620618185108469     856.6101733201165871
   54269.3147816484124633     77.4153595     53.3584175   22493.4489585773917497     849.1620197651017179
   54269.3147822225582786     37.1083908     45.1086960   22746.5763695893801923     841.4964765251869494
   54269.3147827967186458     16.9548950     40.3563004   19490.8303337238285167     795.2080838665104920
   54269.3147833713373984     57.2618790     49.4060478   18242.7271755129004305     775.4637637800005905
   54269.3147839454904897     37.1083908     45.1086960   17980.2047159893081698     762.8298627256615418
   54269.3147845196435810     97.5688477     57.0375633   16894.8920585143132485     741.8172695323059997
   54269.3147850942696095    -23.3520813     28.5710506   15159.3340182031188306     703.4974737917154926
   54269.3147856684299768    -23.3520813     28.5710506   17852.5865897690055135     750.2288738698147199
   54269.3147862425830681     97.5688477     57.0375633   20384.3946772400959162     818.2273214983028993
   54269.3147868171872688    -23.3520813     28.5710506   21004.8628253882416175     815.9155471448740400
   54269.3147873913476360     77.4153595     53.3584175   25310.3837265326947090     887.5042696224204519
   54269.3147879659663886    -43.5055695     20.2519569   26885.0681709771415626     940.9991264906431070
   54269.3147885401122039     16.9548950     40.3563004   22706.4567072181671392     860.2600438556967219
   54269.3147891142798471     57.2618790     49.4060478   21661.4974810008716304     858.9639337959208660
   54269.3147896888913237    117.7223358     60.4933624   19777.6782914301147684     807.6468955573578796
   54269.3147902630516910     -3.1985893     34.9638100   19728.5511447538374341     799.3520987654320606
   54269.3147908376777195     77.4153595     53.3584175   21613.1786825268100074     831.6644955092967848
   54269.3147914118235349    137.8758392     63.7621346   18526.1104322489554761     775.8843939803550711
   54269.3147919859766262     57.2618790     49.4060478   19133.5084389174262469     789.8127133459493052
   54269.3147925601297175     -3.1985893     34.9638100   21321.3391439127699414     825.7642918506503520
