MJD,X,XE,O,OE
54269.3147569523 ,117.7223358000 ,60.4933624000 ,23969.2836141900 ,872.6781700760 
54269.3147575269 ,117.7223358000 ,60.4933624000 ,24953.6056519780 ,900.8224060557 
54269.3147581011 ,178.1828156000 ,69.8422241000 ,22151.8658616442 ,849.9983587156 
54269.3147586752 ,-23.3520813000 ,28.5710506000 ,20381.3519906280 ,803.4333651738 
54269.3147592498 ,97.5688477000 ,57.0375633000 ,20516.6475792256 ,806.0744922051 
54269.3147598240 ,77.4153595000 ,53.3584175000 ,20991.3559051996 ,825.9287759455 
54269.3147603981 ,77.4153595000 ,53.3584175000 ,21950.1405376828 ,839.7838118410 
54269.3147609727 ,158.0293274000 ,66.8713150000 ,22500.1372094560 ,830.0647165901 
54269.3147615469 ,-3.1985893000 ,34.9638100000 ,23341.2745739088 ,865.8387383978 
54269.3147621215 ,77.4153595000 ,53.3584175000 ,22177.8634225466 ,836.5877143973 
54269.3147626957 ,16.9548950000 ,40.3563004000 ,20032.4506971854 ,782.3630987354 
54269.3147632698 ,-3.1985893000 ,34.9638100000 ,23545.4409371902 ,866.6683872518 
54269.3147638445 ,77.4153595000 ,53.3584175000 ,27153.8753224595 ,940.4000937190 
54269.3147644186 ,-43.5055695000 ,20.2519569000 ,27244.8704767054 ,929.2348610736 
54269.3147649928 ,37.1083908000 ,45.1086960000 ,27525.8582175362 ,951.0259661770 
54269.3147655674 ,16.9548950000 ,40.3563004000 ,27332.9742789342 ,949.4350304887 
54269.3147661416 ,97.5688477000 ,57.0375633000 ,23907.7630254423 ,871.4451929951 
54269.3147667157 ,37.1083908000 ,45.1086960000 ,22889.4583737346 ,860.7730281457 
54269.3147672903 ,-3.1985893000 ,34.9638100000 ,25011.6787648313 ,890.2559754889 
54269.3147678645 ,137.8758392000 ,63.7621346000 ,23437.2133249226 ,865.7025526419 
54269.3147684386 ,37.1083908000 ,45.1086960000 ,22648.3860550899 ,833.3580895738 
54269.3147690132 ,-23.3520813000 ,28.5710506000 ,22142.7193463698 ,829.1414063861 
54269.3147695874 ,77.4153595000 ,53.3584175000 ,23431.1993127271 ,868.4857865489 
54269.3147701620 ,16.9548950000 ,40.3563004000 ,21626.3386404734 ,816.4811294344 
54269.3147707362 ,37.1083908000 ,45.1086960000 ,24019.2929308221 ,853.3130323511 
54269.3147713103 ,77.4153595000 ,53.3584175000 ,22119.6721948875 ,838.2041801087 
54269.3147718845 ,-23.3520813000 ,28.5710506000 ,22684.3446312817 ,849.1829359286 
54269.3147724591 ,16.9548950000 ,40.3563004000 ,19757.5298741401 ,788.5422102070 
54269.3147730333 ,57.2618790000 ,49.4060478000 ,18814.6698242768 ,790.1818221141 
54269.3147736079 ,16.9548950000 ,40.3563004000 ,15621.0041921239 ,696.1962716650 
54269.3147741820 ,-3.1985893000 ,34.9638100000 ,16271.0982403652 ,721.2690613079 
54269.3147747562 ,37.1083908000 ,45.1086960000 ,15422.8862911898 ,704.8853227599 
54269.3147753308 ,-3.1985893000 ,34.9638100000 ,16061.2586753176 ,723.1232176865 
54269.3147759049 ,16.9548950000 ,40.3563004000 ,17677.8037451563 ,758.8809371902 
54269.3147764796 ,-43.5055695000 ,20.2519569000 ,19699.1356366585 ,795.6228698447 
54269.3147770537 ,-3.1985893000 ,34.9638100000 ,17173.3231059445 ,741.7753603076 
